Frequency,dB
1000000000,1.6580776698217
1007820136.85239,1.54523665525772
1015640273.70479,1.42760758499995
1023460410.55718,1.40106385896321
1031280547.40958,1.34405659733254
1039100684.26197,1.39172696462103
1046920821.11437,1.49762982330691
1054740957.96676,1.58641401356497
1062561094.81916,1.66079937819841
1070381231.67155,1.74161731251395
1078201368.52395,1.74137029361851
1086021505.37634,1.66258246453054
1093841642.22874,1.60542854050551
1101661779.08113,1.51428908256006
1109481915.93353,1.47992892887402
1117302052.78592,1.43400338722601
1125122189.63832,1.46038514765178
1132942326.49071,1.48549067137014
1140762463.34311,1.56649430451695
1148582600.1955,1.64207733645628
1156402737.0479,1.71246096261198
1164222873.90029,1.751178805222
1172043010.75269,1.73060355764256
1179863147.60508,1.6796741093183
1187683284.45748,1.6297464819978
1195503421.30987,1.5756842866587
1203323558.16227,1.57389393513305
1211143695.01466,1.53541904282948
1218963831.86706,1.54366983803905
1226783968.71945,1.57024461740796
1234604105.57185,1.60694865276744
1242424242.42424,1.6138528265979
1250244379.27664,1.75445842259463
1258064516.12903,1.82657335573117
1265884652.98143,1.83854742688746
1273704789.83382,1.8153282270546
1281524926.68621,1.73440498432085
1289345063.53861,1.73446350953431
1297165200.391,1.67343551426378
1304985337.2434,1.62399099944459
1312805474.09579,1.65070489840844
1320625610.94819,1.71941357605066
1328445747.80058,1.79531332378016
1336265884.65298,1.87396567654329
1344086021.50537,1.95596375196879
1351906158.35777,1.96414799356289
1359726295.21016,1.94976223713462
1367546432.06256,1.9363199881026
1375366568.91495,1.92232502999178
1383186705.76735,1.94877583087578
1391006842.61974,1.99303239418705
1398826979.47214,2.03375053727615
1406647116.32453,2.09232317129898
1414467253.17693,2.12629864435868
1422287390.02932,2.12018410688827
1430107526.88172,2.12244084694457
1437927663.73411,2.15839563632194
1445747800.58651,2.2241635276753
1453567937.4389,2.31100367958944
1461388074.2913,2.39164005562262
1469208211.14369,2.4347139409411
1477028347.99609,2.39147722910534
1484848484.84848,2.4085028396461
1492668621.70087,2.38969661084835
1500488758.55327,2.45233046628963
1508308895.40566,2.6263857561833
1516129032.25806,2.90331208748279
1523949169.11045,3.25716445497685
1531769305.96285,3.61374504418153
1539589442.81524,4.07722019880426
1547409579.66764,4.67749135959317
1555229716.52003,5.77253772808294
1563049853.37243,6.05844190358516
1570869990.22482,3.82660701093496
1578690127.07722,2.58148989052716
1586510263.92961,2.28054164883103
1594330400.78201,2.2893951349885
1602150537.6344,2.38663630047166
1609970674.4868,2.52853565881236
1617790811.33919,2.61313978944754
1625610948.19159,2.67182127713676
1633431085.04398,2.69654605415605
1641251221.89638,2.71309912017468
1649071358.74877,2.74946809723159
1656891495.60117,2.79463091367083
1664711632.45356,2.85647411434094
1672531769.30596,2.88027649804912
1680351906.15835,2.86871514328067
1688172043.01075,2.85044219314406
1695992179.86314,2.9082267668737
1703812316.71553,3.03749849579725
1711632453.56793,3.19039297958285
1719452590.42032,3.3412858986644
1727272727.27272,3.52560884507528
1735092864.12511,3.57973350159345
1742913000.97751,3.58083013486432
1750733137.8299,3.53588879454437
1758553274.6823,3.47685925131932
1766373411.53469,3.4102357476099
1774193548.38709,3.47102550828469
1782013685.23948,3.59104644758408
1789833822.09188,3.75725328318926
1797653958.94427,3.9349928113664
1805474095.79667,4.07184373682033
1813294232.64906,4.20620115012319
1821114369.50146,4.22625489489651
1828934506.35385,4.1467196177163
1836754643.20625,4.05871013941438
1844574780.05864,3.94922804787436
1852394916.91104,3.95720906960765
1860215053.76343,4.04830078700806
1868035190.61583,4.20149998454722
1875855327.46822,4.40367666184839
1883675464.32062,4.53851070532375
1891495601.17301,4.64760654899343
1899315738.02541,4.72477136701157
1907135874.8778,4.63396172902602
1914956011.7302,4.56288899181833
1922776148.58259,4.51684100745424
1930596285.43498,4.51586019392641
1938416422.28738,4.56735370303433
1946236559.13977,4.61572132156351
1954056695.99217,4.59570103771909
1961876832.84456,4.58710732888161
1969696969.69696,4.59781306667306
1977517106.54935,4.60453685313369
1985337243.40175,4.71597515926547
1993157380.25414,4.82781772775725
2000977517.10654,4.90800253085142
2008797653.95893,4.91130261096094
2016617790.81133,4.90722904691426
2024437927.66372,4.88542341244785
2032258064.51612,4.83124884842679
2040078201.36851,4.77721014112574
2047898338.22091,4.70456748571521
2055718475.0733,4.75669381260776
2063538611.9257,4.87545161722113
2071358748.77809,5.00080425704358
2079178885.63049,5.04342243320455
2086999022.48288,5.06354189284329
2094819159.33528,5.0237118048161
2102639296.18767,4.90347208960741
2110459433.04007,4.79012742570517
2118279569.89246,4.66256438116789
2126099706.74486,4.64300839510022
2133919843.59725,4.7537773073576
2141739980.44964,4.90324060321359
2149560117.30204,5.06332554862375
2157380254.15443,5.16331459066781
2165200391.00683,5.20919685732377
2173020527.85922,5.1115106646571
2180840664.71162,4.98693698314226
2188660801.56401,4.87742488960621
2196480938.41641,4.86109817381753
2204301075.26881,4.85215334009335
2212121212.1212,4.91500808167228
2219941348.9736,5.03786029009911
2227761485.82599,5.22431910664977
2235581622.67839,5.34856345196345
2243401759.53078,5.36924722714172
2251221896.38318,5.36910544241789
2259042033.23557,5.33972131570245
2266862170.08797,5.29429700274572
2274682306.94036,5.29088010633583
2282502443.79276,5.28500275514764
2290322580.64515,5.28852438938624
2298142717.49755,5.25941927441703
2305962854.34994,5.2986306913271
2313782991.20234,5.25382862713767
2321603128.05473,5.30675205429514
2329423264.90713,5.38798898572938
2337243401.75952,5.52556901250649
2345063538.61192,5.75813663213659
2352883675.46431,5.95296639385396
2360703812.31671,6.06916302801994
2368523949.1691,6.07941839454237
2376344086.0215,6.00069714307152
2384164222.87389,5.84316260492705
2391984359.72629,5.67783072855315
2399804496.57868,5.66608179519718
2407624633.43108,5.83228650733393
2415444770.28347,6.0763533434456
2423264907.13587,6.43832051023309
2431085043.98826,6.79536806788571
2438905180.84066,7.033724445699
2446725317.69305,7.06103917638202
2454545454.54545,6.93916411156614
2462365591.39784,6.7480622956239
2470185728.25024,6.63613769213304
2478005865.10263,6.62936393537396
2485826001.95503,6.80146115805639
2493646138.80742,7.18912173955345
2501466275.65982,7.47464818455086
2509286412.51221,7.75956821782691
2517106549.36461,7.92477317966877
2524926686.217,8.02838165533695
2532746823.0694,8.08885601091575
2540566959.92179,8.1454819607646
2548387096.77419,8.18895998016293
2556207233.62658,8.40569968207101
2564027370.47898,8.55001213630226
2571847507.33137,8.73028074763945
2579667644.18377,8.81469282902468
2587487781.03616,8.96162056797564
2595307917.88856,9.10158452328833
2603128054.74095,9.28456242611523
2610948191.59335,9.66108357047658
2618768328.44574,10.0434541844903
2626588465.29814,10.531143625429
2634408602.15053,10.7978752547964
2642228739.00293,11.0056051668981
2650048875.85532,11.0403451248837
2657869012.70772,10.9668531843378
2665689149.56011,10.8282618113387
2673509286.41251,10.937112092099
2681329423.2649,11.4707722765235
2689149560.1173,11.9543622498504
2696969696.96969,12.8051467153559
2704789833.82209,13.4248852845381
2712609970.67448,13.7486991379397
2720430107.52688,13.907462846669
2728250244.37927,13.7882746500916
2736070381.23167,13.488096607665
2743890518.08406,13.2684097491623
2751710654.93646,13.5792574479476
2759530791.78885,14.0420932012623
2767350928.64125,14.4379603190115
2775171065.49364,15.1011738525016
2782991202.34604,15.9739767729451
2790811339.19843,16.4810103525642
2798631476.05083,16.664978309358
2806451612.90322,16.6232506773593
2814271749.75562,16.3982321291946
2822091886.60801,16.3714358526895
2829912023.46041,16.4343139292668
2837732160.3128,16.7901852909599
2845552297.1652,17.10184051934
2853372434.01759,17.644417089401
2861192570.86999,18.0568145156343
2869012707.72238,18.0010628479303
2876832844.57478,18.0300590848967
2884652981.42718,17.7512457993995
2892473118.27957,17.763647113711
2900293255.13197,17.6762895619782
2908113391.98436,17.3094188923178
2915933528.83676,16.8097613650597
2923753665.68915,16.6081240040175
2931573802.54155,16.7267484802367
2939393939.39394,16.7280826796651
2947214076.24634,16.6568986974669
2955034213.09873,16.5958087996753
2962854349.95113,16.3855849830528
2970674486.80352,16.1808269692766
2978494623.65592,16.0685170544524
2986314760.50831,15.8220882221309
2994134897.36071,15.6812427301228
3001955034.2131,15.4513835480868
3009775171.0655,15.2365824607803
3017595307.91789,15.0196679685678
3025415444.77029,14.9325423462079
3033235581.62268,14.8032186309584
3041055718.47508,14.4880485505066
3048875855.32747,14.4113358703513
3056695992.17987,14.5505884799675
3064516129.03226,14.4379029699869
3072336265.88466,14.1087718098064
3080156402.73705,13.8665695838698
3087976539.58945,13.8190729177715
3095796676.44184,13.5235912973299
3103616813.29424,13.325887026867
3111436950.14663,13.0805285354801
3119257086.99903,13.0343797387317
3127077223.85142,13.0990528657597
3134897360.70382,13.1817398501496
3142717497.55621,13.2626902411333
3150537634.40861,13.248592962358
3158357771.261,13.1122622283108
3166177908.1134,12.8927598642045
3173998044.96579,12.712370661253
3181818181.81819,12.3808911068576
3189638318.67058,12.1066813801608
3197458455.52298,12.1156071230181
3205278592.37537,12.2382833394466
3213098729.22777,12.4460573036349
3220918866.08016,12.5818123646428
3228739002.93256,12.6360273530107
3236559139.78495,12.5800310194105
3244379276.63735,12.3006476519159
3252199413.48974,11.9708056074509
3260019550.34214,11.5549379669346
3267839687.19453,11.4361448254745
3275659824.04693,11.507825123952
3283479960.89932,11.6298266524794
3291300097.75172,11.8228556245107
3299120234.60411,12.0814189303156
3306940371.45651,12.1422784471299
3314760508.3089,11.9849184337033
3322580645.1613,11.7657048104588
3330400782.01369,11.5488176528268
3338220918.86609,11.4445007294629
3346041055.71848,11.3170632080398
3353861192.57088,11.2957729348389
3361681329.42327,11.4104428891548
3369501466.27567,11.4582442181527
3377321603.12806,11.4222045012217
3385141739.98046,11.2480893853277
3392961876.83285,11.095591102772
3400782013.68525,11.0704655339723
3408602150.53764,11.1050324374674
3416422287.39004,11.1715980517585
3424242424.24243,11.3982318913917
3432062561.09483,11.4629192163835
3439882697.94722,11.3867249054739
3447702834.79962,11.294498552783
3455522971.65201,11.0486213567369
3463343108.50441,10.7360956076572
3471163245.3568,10.5674146101061
3478983382.2092,10.5940786346283
3486803519.06159,10.730858840928
3494623655.91399,10.8537415599968
3502443792.76638,10.9921152182449
3510263929.61878,10.941158285844
3518084066.47117,10.8089113562214
3525904203.32357,10.5684093383084
3533724340.17596,10.3061373556266
3541544477.02836,10.1158288957575
3549364613.88075,10.1195193063128
3557184750.73315,10.1719823879939
3565004887.58555,10.2969860561826
3572825024.43794,10.4033029343942
3580645161.29034,10.5504806067686
3588465298.14273,10.4901506098417
3596285434.99513,10.3067860442115
3604105571.84752,10.0292209753164
3611925708.69992,9.82170644440558
3619745845.55231,9.76137505764325
3627565982.40471,9.77109989989555
3635386119.2571,9.81613170543008
3643206256.1095,9.83708441900336
3651026392.96189,9.74578017086763
3658846529.81429,9.6657630222632
3666666666.66668,9.47820571928185
3674486803.51908,9.32038781411263
3682306940.37147,9.16640722640788
3690127077.22387,9.11408361937808
3697947214.07626,9.13313149116065
3705767350.92866,9.19426267642988
3713587487.78105,9.32693258386843
3721407624.63345,9.32918300740951
3729227761.48584,9.30399758669111
3737047898.33824,9.11644079721222
3744868035.19063,8.87421428698529
3752688172.04303,8.72142150195504
3760508308.89542,8.60253602924644
3768328445.74782,8.58430682920989
3776148582.60021,8.62469290173983
3783968719.45261,8.74443412045693
3791788856.305,8.79130030379163
3799608993.1574,8.63614469658149
3807429130.00979,8.43377342383061
3815249266.86219,8.25103991575931
3823069403.71458,8.04372935290536
3830889540.56698,7.97022802123038
3838709677.41937,7.95727847907588
3846529814.27177,8.05803111486037
3854349951.12416,8.25101747551908
3862170087.97656,8.370164986259
3869990224.82895,8.31049325274502
3877810361.68135,8.10700685910748
3885630498.53374,7.88591320640406
3893450635.38614,7.69784463916746
3901270772.23853,7.57405284391566
3909090909.09093,7.60470840289182
3916911045.94332,7.63808667489807
3924731182.79572,7.76645189535963
3932551319.64811,7.8689296178149
3940371456.50051,7.84021470064848
3948191593.3529,7.75278129415164
3956011730.2053,7.57190740611486
3963831867.05769,7.39042294844685
3971652003.91009,7.20507514909441
3979472140.76248,7.16323971444502
3987292277.61488,7.26750849325525
3995112414.46727,7.42879924243282
4002932551.31967,7.53596777184561
4010752688.17206,7.45347668563617
4018572825.02446,7.30259638484727
4026392961.87685,7.14186009889674
4034213098.72925,7.06631225385125
4042033235.58164,6.98272909575149
4049853372.43404,7.03226815056138
4057673509.28643,7.15753047138662
4065493646.13883,7.27020297396971
4073313782.99122,7.37966275204624
4081133919.84362,7.32482038010682
4088954056.69601,7.18580236666586
4096774193.54841,7.00195235285453
4104594330.4008,6.87274962687242
4112414467.2532,6.79796482214959
4120234604.10559,6.83826492039566
4128054740.95799,6.96969645879259
4135874877.81038,7.03289960600191
4143695014.66278,7.04168516442154
4151515151.51517,6.97895765751298
4159335288.36757,6.85758243916382
4167155425.21996,6.82215816479797
4174975562.07236,6.76750035002842
4182795698.92475,6.86801996629409
4190615835.77715,6.97488011540096
4198435972.62954,7.00121964017283
4206256109.48194,7.00683915513128
4214076246.33433,6.91671867778268
4221896383.18673,6.77188050774333
4229716520.03912,6.65913033635768
4237536656.89152,6.57759871110498
4245356793.74392,6.59228641240731
4253176930.59631,6.65900677794361
4260997067.44871,6.81486132902151
4268817204.3011,6.93586000018334
4276637341.1535,7.04832556613278
4284457478.00589,7.05143548260447
4292277614.85829,6.91201553413569
4300097751.71068,6.8033064730413
4307917888.56308,6.74233267328577
4315738025.41547,6.75573053179861
4323558162.26787,6.84973463485014
4331378299.12026,6.91465177423536
4339198435.97266,6.95997499150639
4347018572.82505,6.97804399655882
4354838709.67745,7.01875866890542
4362658846.52984,7.00873071563752
4370478983.38224,7.04494729514263
4378299120.23463,7.04091356759371
4386119257.08703,7.08673119721706
4393939393.93942,7.09914411049096
4401759530.79182,7.14981006314735
4409579667.64421,7.18291454680175
4417399804.49661,7.13586065272161
4425219941.349,7.13450517082563
4433040078.2014,7.17552639212314
4440860215.05379,7.18967538774303
4448680351.90619,7.22875707219074
4456500488.75858,7.30345380748117
4464320625.61098,7.37456618118932
4472140762.46337,7.43925436136577
4479960899.31577,7.47846744517796
4487781036.16816,7.52492763289595
4495601173.02056,7.56834507959574
4503421309.87295,7.65833926171665
4511241446.72535,7.71160548315859
4519061583.57774,7.73527765501999
4526881720.43014,7.79275116607478
4534701857.28253,7.78173800150778
4542521994.13493,7.71191507987083
4550342130.98732,7.79040379136948
4558162267.83972,7.90723675268723
4565982404.69211,8.0822986697688
4573802541.54451,8.41092451736944
4581622678.3969,8.77046618577351
4589442815.2493,9.0023154293113
4597262952.10169,9.04572585181046
4605083088.95409,8.92789116438264
4612903225.80648,8.86727972474934
4620723362.65888,8.89404361661414
4628543499.51127,9.14263545736795
4636363636.36367,9.59959149152608
4644183773.21606,10.3134316750106
4652003910.06846,11.0345796432425
4659824046.92085,11.6630211966454
4667644183.77325,12.292007976058
4675464320.62564,12.899661630693
4683284457.47804,13.6773438083733
4691104594.33043,14.9685983385482
4698924731.18283,17.1898076679709
4706744868.03522,20.7703055101681
4714565004.88762,25.8988186694176
4722385141.74001,24.0813763620413
4730205278.59241,18.7601180092393
4738025415.4448,15.1246924869134
4745845552.2972,12.7870524002876
4753665689.14959,11.1194139172648
4761485826.00199,9.98370192193619
4769305962.85438,9.27006190253913
4777126099.70678,8.82946668335886
4784946236.55917,8.62159773585838
4792766373.41157,8.61316057049966
4800586510.26396,8.59081358467602
4808406647.11636,8.42469824052264
4816226783.96875,8.33269398141022
4824046920.82115,8.20405291952511
4831867057.67354,8.08714500825679
4839687194.52594,8.06700842646695
4847507331.37833,8.11151290564046
4855327468.23073,8.22852929258934
4863147605.08312,8.35736009805574
4870967741.93552,8.48492514664872
4878787878.78791,8.62875963656652
4886608015.64031,8.75077943916433
4894428152.4927,8.92468966655373
4902248289.3451,9.05073152847004
4910068426.19749,9.13650116289679
4917888563.04989,9.24837174907633
4925708699.90228,9.32492380751158
4933528836.75468,9.36193473960552
4941348973.60707,9.4056945122359
4949169110.45947,9.49558513609568
4956989247.31186,9.66035071314605
4964809384.16426,9.86374147825859
4972629521.01665,10.0277478076001
4980449657.86905,10.129141032551
4988269794.72145,10.3147092049149
4996089931.57384,10.5650022723892
